JID,CID,Smiles,Carbon,Fluorine,Chlorine,Bromine,Iodine,Sulfur,Phosphorous,Acyclic nitrogen,Cyclic nitrogen,Acyclic oxygen,Cyclic oxygen,Heavy atoms,Acyclic single bonds,Acyclic double bonds,Acyclic triple bonds,Cyclic single bonds,Cyclic double bonds,Cyclic triple bonds,Rotable bonds,H-bond acceptor sites,H-bond acceptor atoms,H-bond donor sites,H-bond donor atoms,Negative charges,Positive charges,Acyclic single valent nodes,Acyclic divalent nodes,Acyclic trivalent nodes,Acyclic tetravalent nodes,Cyclic divalent nodes,Cyclic trivalent nodes,Cyclic tetravalent nodes,3-membered rings,4-membered rings,5-membered rings,6-membered rings,7-membered rings,8-membered rings,9-membered rings,>= 10-membered rings,nodes shared by >= 2 rings,edges shared by >= 2 rings,Functional groups
0,130652087,C#CCCSC1=NNN=C1,6,0,0,0,0,1,0,0,3,0,0,10,4,0,1,3,2,0,3,3,3,1,1,0,0,1,4,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Acetylenic carbon']
1,129668047,CCCC=CCS(=O)(=O)C,7,0,0,0,0,1,0,0,0,2,0,10,6,3,0,0,0,0,4,4,2,0,0,0,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon']
2,140994819,CCC(C=CCC(C)O)O,8,0,0,0,0,0,0,0,0,2,0,10,8,1,0,0,0,0,4,4,2,2,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Hydroxyl']
3,21721211,CCC(=O)OCC/C=C/C,8,0,0,0,0,0,0,0,0,2,0,10,7,2,0,0,0,0,4,4,2,0,0,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Ether'; 'Ester']
4,90704336,CCC(C(C)C(O)OC)O,7,0,0,0,0,0,0,0,0,3,0,10,9,0,0,0,0,0,4,6,3,2,2,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Hydroxyl'; 'Ether']
5,66045681,CCCCNCC(=C)CC,9,0,0,0,0,0,0,1,0,0,0,10,8,1,0,0,0,0,6,1,1,1,1,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Amine']
6,129972225,CSN1C(=C(C=N1)N)C#N,5,0,0,0,0,1,0,2,2,0,0,10,4,0,1,3,2,0,1,4,4,2,1,0,0,3,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amine'; 'Nitrile']
7,20678039,CC(C)C1(OCO1)C(C)C,8,0,0,0,0,0,0,0,0,0,2,10,6,0,0,4,0,0,2,4,2,0,0,0,0,4,0,2,0,3,0,1,0,1,0,0,0,0,0,0,0,0,['Alkane'; 'Ether']
8,140544778,CCCCCC(C(=O)C)S,8,0,0,0,0,1,0,0,0,1,0,10,8,1,0,0,0,0,5,2,1,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Ketone'; 'Thiol']
9,89041207,CC1=C(CSCC1)C(C)C,9,0,0,0,0,1,0,0,0,0,0,10,4,0,0,5,1,0,1,0,0,0,0,0,0,3,0,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon']
10,13778421,CCC(C(C)C(C)(C)O)O,8,0,0,0,0,0,0,0,0,2,0,10,9,0,0,0,0,0,3,4,2,2,2,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Hydroxyl']
11,130747059,CCC(=CC=O)CC(C)C,9,0,0,0,0,0,0,0,0,1,0,10,7,2,0,0,0,0,4,2,1,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Aldehyde']
12,67132144,C1C(=O)CC2=CC=C1C=C2,9,0,0,0,0,0,0,0,0,1,0,10,0,1,0,7,3,0,0,2,1,0,0,0,0,1,0,0,0,6,3,0,0,0,0,1,2,0,0,0,9,10,['Alkane'; 'Ketone']
13,144536832,C/C=C\C(=C/C=C/S)\NC,8,0,0,0,0,1,0,1,0,0,0,10,6,3,0,0,0,0,3,1,1,1,1,0,0,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Amine'; 'Thiol']
14,57125000,CCC(C1=CC=CN1)NC,8,0,0,0,0,0,0,1,1,0,0,10,5,0,0,3,2,0,3,2,2,2,2,0,0,2,2,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
15,118970001,CN1C2=C(C(=O)N1)NC=N2,5,0,0,0,0,0,0,0,4,1,0,10,1,1,0,5,4,0,0,6,5,2,2,0,0,2,0,0,0,4,4,0,0,0,2,0,0,0,0,0,2,1,['Alkane']
16,79479573,C1CC1NCCOCCN,7,0,0,0,0,0,0,2,0,1,0,10,7,0,0,3,0,0,6,4,3,3,2,0,0,1,6,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Amine']
17,67729636,C1C=CN2C=CC=NC2S1,7,0,0,0,0,1,0,0,2,0,0,10,0,0,0,8,3,0,0,2,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,0,0,0,0,2,1,['Alkane'; 'Vinylic carbon'; 'Imine']
18,45121791,CC1=CN=C(S1)N(C=N)O,5,0,0,0,0,1,0,2,1,1,0,10,4,1,0,3,2,0,2,5,4,2,2,0,0,3,1,1,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Hydroxyl']
19,21146413,C#CC1=CC=C(SS1)CO,7,0,0,0,0,2,0,0,0,1,0,10,3,0,1,4,2,0,1,2,1,1,1,0,0,2,2,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Acetylenic carbon'; 'Hydroxyl']
20,15174574,C/C=C(\C)/C(C)(CC#N)O,8,0,0,0,0,0,0,1,0,1,0,10,7,1,1,0,0,0,2,3,2,1,1,0,0,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Hydroxyl'; 'Nitrile']
21,71381868,CC(C)(C)NC(=O)N(C)N,6,0,0,0,0,0,0,3,0,1,0,10,8,1,0,0,0,0,0,5,4,3,2,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Amine']
22,137356549,CCCC(N1C=CC=C1)S,8,0,0,0,0,1,0,0,1,0,0,10,5,0,0,3,2,0,3,1,1,0,0,0,0,2,2,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Thiol']
23,14225390,CC(C)C(=O)C(C)(C)C=C,9,0,0,0,0,0,0,0,0,1,0,10,7,2,0,0,0,0,3,2,1,0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Ketone']
24,66748444,C1N=C2C=CC=CC2[N+]1=O,7,0,0,0,0,0,0,0,2,1,0,10,0,1,0,7,3,0,0,4,3,0,0,0,1,1,0,0,0,6,3,0,0,0,1,1,0,0,0,0,2,1,['Alkane'; 'Vinylic carbon'; 'Imine']
25,59443543,CC(C)(C)C1=CNCCN1,8,0,0,0,0,0,0,0,2,0,0,10,4,0,0,5,1,0,0,2,2,2,2,0,0,3,0,0,1,5,1,0,0,0,0,1,0,0,0,0,0,0,['Alkane'; 'Vinylic carbon'; 'Amine']
26,127010323,CC(C1=CC=CS1)S(=O)C,7,0,0,0,0,2,0,0,0,1,0,10,4,1,0,3,2,0,2,2,1,0,0,0,0,3,0,2,0,4,1,0,0,0,1,0,0,0,0,0,0,0,['Alkane']
27,130655930,CCN1CCC(C1)NOC,7,0,0,0,0,0,0,1,1,1,0,10,5,0,0,5,0,0,3,4,3,1,1,0,0,2,3,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,['Alkane'; 'Amine']
28,62142441,CC(C(=O)OC)NCCN,6,0,0,0,0,0,0,2,0,2,0,10,8,1,0,0,0,0,4,6,4,3,2,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['Alkane'; 'Ether'; 'Ester'; 'Amine']
